number,title,state,created_at,closed_at,labels,duration_days
64620,REF: avoid tranpose on 2D EA,closed,2026-03-15 19:26:47+00:00,2026-03-15 20:31:33+00:00,"[{'id': 49094459, 'node_id': 'MDU6TGFiZWw0OTA5NDQ1OQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Internals', 'name': 'Internals', 'color': 'fbca04', 'default': False, 'description': 'Related to non-user accessible pandas implementation'}]",0.04497685185185185
64619,BUG: add out of bounds time checks for float inputs exceeding int64 limits,closed,2026-03-15 19:12:57+00:00,2026-03-16 22:20:33+00:00,[],1.1302777777777777
64618,TST: add regression test for groupby agg with multiple partial functions,closed,2026-03-15 18:49:18+00:00,2026-03-17 02:18:07+00:00,"[{'id': 697792067, 'node_id': 'MDU6TGFiZWw2OTc3OTIwNjc=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Apply', 'name': 'Apply', 'color': 'fbca04', 'default': False, 'description': 'Apply, Aggregate, Transform, Map'}]",1.3116782407407408
64617,TST: add regression test for groupby agg with multiple partial functions,closed,2026-03-15 18:44:54+00:00,2026-03-15 18:47:30+00:00,[],0.0018055555555555555
64616,TST: add regression test for enlarging a DataFrame by adding an extra column with a tz-aware datetime results in object dtype,closed,2026-03-15 18:15:57+00:00,2026-03-22 01:08:06+00:00,[],6.286215277777778
64615,TYP: enable mypy for core.flags,closed,2026-03-15 17:56:00+00:00,2026-03-15 18:58:14+00:00,"[{'id': 1280988427, 'node_id': 'MDU6TGFiZWwxMjgwOTg4NDI3', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Typing', 'name': 'Typing', 'color': 'ea91a4', 'default': False, 'description': 'type annotations, mypy/pyright type checking'}]",0.04321759259259259
64614,TYP: enable mypy for pandas.util._test_decorators,closed,2026-03-15 17:54:22+00:00,2026-03-15 19:13:11+00:00,"[{'id': 1280988427, 'node_id': 'MDU6TGFiZWwxMjgwOTg4NDI3', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Typing', 'name': 'Typing', 'color': 'ea91a4', 'default': False, 'description': 'type annotations, mypy/pyright type checking'}]",0.054733796296296294
64612,TYP: enable mypy checks for core.dtypes.astype,closed,2026-03-15 17:19:28+00:00,2026-03-15 19:04:55+00:00,"[{'id': 1280988427, 'node_id': 'MDU6TGFiZWwxMjgwOTg4NDI3', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Typing', 'name': 'Typing', 'color': 'ea91a4', 'default': False, 'description': 'type annotations, mypy/pyright type checking'}]",0.07322916666666666
64611,TYP: enable mypy checks for core.dtypes.concat,closed,2026-03-15 17:01:50+00:00,2026-03-15 19:10:44+00:00,"[{'id': 1280988427, 'node_id': 'MDU6TGFiZWwxMjgwOTg4NDI3', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Typing', 'name': 'Typing', 'color': 'ea91a4', 'default': False, 'description': 'type annotations, mypy/pyright type checking'}]",0.08951388888888889
64610,TYP: add type annotations to core.array_algos.quantile,closed,2026-03-15 16:58:54+00:00,2026-03-15 19:08:30+00:00,"[{'id': 1280988427, 'node_id': 'MDU6TGFiZWwxMjgwOTg4NDI3', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Typing', 'name': 'Typing', 'color': 'ea91a4', 'default': False, 'description': 'type annotations, mypy/pyright type checking'}]",0.09
64609,PERF: speed up strftime for common format directives,closed,2026-03-15 16:48:14+00:00,2026-04-16 16:13:55+00:00,"[{'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}]",31.976168981481482
64608,PERF: avoid densification and groupby fallback in dropna with SparseArray,closed,2026-03-15 16:47:47+00:00,2026-03-15 22:29:19+00:00,"[{'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}, {'id': 49182326, 'node_id': 'MDU6TGFiZWw0OTE4MjMyNg==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Sparse', 'name': 'Sparse', 'color': '009800', 'default': False, 'description': 'Sparse Data Type'}]",0.23717592592592593
64607,PERF: read zip-compressed files into memory instead of streaming,closed,2026-03-15 16:41:58+00:00,2026-03-15 20:15:15+00:00,"[{'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}]",0.1481134259259259
64606,PERF: groupby first/last no longer falls back to apply for ExtensionArrays,closed,2026-03-15 16:37:51+00:00,2026-03-15 19:05:05+00:00,"[{'id': 233160, 'node_id': 'MDU6TGFiZWwyMzMxNjA=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Groupby', 'name': 'Groupby', 'color': '729FCF', 'default': False, 'description': None}, {'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}]",0.10224537037037038
64605,PERF: improve hashing of CategoricalDtype with Interval categories,closed,2026-03-15 16:31:27+00:00,2026-03-15 18:48:54+00:00,"[{'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}, {'id': 1654197779, 'node_id': 'MDU6TGFiZWwxNjU0MTk3Nzc5', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/hashing', 'name': 'hashing', 'color': '6beae0', 'default': False, 'description': 'hash_pandas_object'}]",0.09545138888888889
